consensus_timestamp,transaction_id,account,amount,is_approval
2023-05-16T13:45:36.388113,0.0.690356-1684259112-028425273,0.0.4,0.00177625,False
2023-05-16T13:45:36.388113,0.0.690356-1684259112-028425273,0.0.98,0.04421287,False
2023-05-16T13:45:36.388113,0.0.690356-1684259112-028425273,0.0.800,-2.16153504,False
2023-05-16T13:45:36.388113,0.0.690356-1684259112-028425273,0.0.690356,-0.04598912,False
2023-05-16T13:45:36.388113,0.0.690356-1684259112-028425273,0.0.723452,"1,515.08553504",False
2023-05-16T13:45:36.388113,0.0.690356-1684259112-028425273,0.0.848824,"-1,660.00000000",False
2023-05-16T13:45:36.388113,0.0.690356-1684259112-028425273,0.0.1105380,113.87600000,False
2023-05-16T13:45:36.388113,0.0.690356-1684259112-028425273,0.0.2254995,33.20000000,False
2023-05-16T13:39:51.191820,0.0.40730-1684258780-509000000,0.0.4,0.00008134,False
2023-05-16T13:39:51.191820,0.0.40730-1684258780-509000000,0.0.98,0.00191369,False
2023-05-16T13:39:51.191820,0.0.40730-1684258780-509000000,0.0.800,-2.24309568,False
2023-05-16T13:39:51.191820,0.0.40730-1684258780-509000000,0.0.40730,-532.71755978,False
2023-05-16T13:39:51.191820,0.0.40730-1684258780-509000000,0.0.180409,534.95866043,False
2023-05-16T13:31:42.222301,0.0.690356-1684258287-404950649,0.0.4,0.00177653,False
2023-05-16T13:31:42.222301,0.0.690356-1684258287-404950649,0.0.98,0.04421844,False
2023-05-16T13:31:42.222301,0.0.690356-1684258287-404950649,0.0.800,-57.96699888,False
2023-05-16T13:31:42.222301,0.0.690356-1684258287-404950649,0.0.624045,"-2,792.03300112",False
2023-05-16T13:31:42.222301,0.0.690356-1684258287-404950649,0.0.690356,-0.04599497,False
2023-05-16T13:31:42.222301,0.0.690356-1684258287-404950649,0.0.999404,27.93000000,False
2023-05-16T13:31:42.222301,0.0.690356-1684258287-404950649,0.0.1332229,167.58000000,False
2023-05-16T13:31:42.222301,0.0.690356-1684258287-404950649,0.0.2129167,"2,597.49000000",False
2023-05-16T13:31:42.222301,0.0.690356-1684258287-404950649,0.0.2254995,57.00000000,False
2023-05-16T13:28:39.232615,0.0.1928606-1684258112-655929119,0.0.4,0.00007702,False
2023-05-16T13:28:39.232615,0.0.1928606-1684258112-655929119,0.0.98,0.00182738,False
2023-05-16T13:28:39.232615,0.0.1928606-1684258112-655929119,0.0.800,-7.99347696,False
2023-05-16T13:28:39.232615,0.0.1928606-1684258112-655929119,0.0.1928606,"-9,011.38055240",False
2023-05-16T13:28:39.232615,0.0.1928606-1684258112-655929119,0.0.2112355,"9,019.37212496",False
2023-05-16T13:26:34.495302,0.0.690356-1684257981-840478437,0.0.4,0.00177625,False
2023-05-16T13:26:34.495302,0.0.690356-1684257981-840478437,0.0.98,0.04421287,False
2023-05-16T13:26:34.495302,0.0.690356-1684257981-840478437,0.0.800,-0.29027040,False
2023-05-16T13:26:34.495302,0.0.690356-1684257981-840478437,0.0.614321,-300.00000000,False
2023-05-16T13:26:34.495302,0.0.690356-1684257981-840478437,0.0.690356,-0.04598912,False
2023-05-16T13:26:34.495302,0.0.690356-1684257981-840478437,0.0.833923,279.59027040,False
2023-05-16T13:26:34.495302,0.0.690356-1684257981-840478437,0.0.1039123,14.70000000,False
2023-05-16T13:26:34.495302,0.0.690356-1684257981-840478437,0.0.2254995,6.00000000,False
2023-05-16T13:26:22.793616,0.0.690356-1684257963-360868304,0.0.4,0.00177639,False
2023-05-16T13:26:22.793616,0.0.690356-1684257963-360868304,0.0.98,0.04421565,False
2023-05-16T13:26:22.793616,0.0.690356-1684257963-360868304,0.0.800,-1.27469664,False
2023-05-16T13:26:22.793616,0.0.690356-1684257963-360868304,0.0.614321,-273.87079472,False
2023-05-16T13:26:22.793616,0.0.690356-1684257963-360868304,0.0.690356,-0.04599204,False
2023-05-16T13:26:22.793616,0.0.690356-1684257963-360868304,0.0.720563,256.17049136,False
2023-05-16T13:26:22.793616,0.0.690356-1684257963-360868304,0.0.1039123,13.47500000,False
2023-05-16T13:26:22.793616,0.0.690356-1684257963-360868304,0.0.2254995,5.50000000,False
2023-05-16T13:12:56.590281,0.0.950-1684257116-000000478,0.0.4,0.00007783,False
2023-05-16T13:12:56.590281,0.0.950-1684257116-000000478,0.0.98,0.00184353,False
2023-05-16T13:12:56.590281,0.0.950-1684257116-000000478,0.0.800,-0.39266640,False
2023-05-16T13:12:56.590281,0.0.950-1684257116-000000478,0.0.950,-59.54893152,False
2023-05-16T13:12:56.590281,0.0.950-1684257116-000000478,0.0.45385,59.93967656,False
2023-05-16T12:42:10.133687,0.0.1901601-1684255318-590000000,0.0.4,0.00008036,False
2023-05-16T12:42:10.133687,0.0.1901601-1684255318-590000000,0.0.98,0.00189561,False
2023-05-16T12:42:10.133687,0.0.1901601-1684255318-590000000,0.0.800,-48.75794784,False
2023-05-16T12:42:10.133687,0.0.1901601-1684255318-590000000,0.0.407219,"68,585.20768542",False
2023-05-16T12:42:10.133687,0.0.1901601-1684255318-590000000,0.0.1901601,"-68,536.45171355",False
2023-05-16T12:24:19.338374,0.0.305869-1684254248-087258590,0.0.4,0.00007897,False
2023-05-16T12:24:19.338374,0.0.305869-1684254248-087258590,0.0.98,0.00186779,False
2023-05-16T12:24:19.338374,0.0.305869-1684254248-087258590,0.0.800,-38.35647312,False
2023-05-16T12:24:19.338374,0.0.305869-1684254248-087258590,0.0.24640,0.01899863,False
2023-05-16T12:24:19.338374,0.0.305869-1684254248-087258590,0.0.305869,38.33552773,False
2023-05-16T12:21:39.817574,0.0.704238-1684254086-490249446,0.0.4,0.00007836,False
2023-05-16T12:21:39.817574,0.0.704238-1684254086-490249446,0.0.98,0.00185156,False
2023-05-16T12:21:39.817574,0.0.704238-1684254086-490249446,0.0.800,-0.10150560,False
2023-05-16T12:21:39.817574,0.0.704238-1684254086-490249446,0.0.704238,0.09957568,False
